"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Ajani, Nacatl Pariah","W","M","3709","1.41","2679","1.38","15339","91.6%","58.4%","2820","68.0%","3130","60.0%","5950","63.8%","9216","54.8%","9.0pp"
"Razorgrass Ambush","W","U","63358","4.58","11703","6.09","59718","85.6%","54.9%","10870","53.8%","12059","53.3%","22929","53.5%","36788","55.8%","-2.2pp"
"Witch Enchanter","W","U","61650","4.41","13923","5.50","73932","86.9%","56.8%","13175","56.8%","15139","56.7%","28314","56.7%","45470","56.8%","-0.0pp"
"Hydroelectric Specimen","U","U","79698","5.93","11666","8.43","48753","71.7%","53.1%","8800","50.8%","12671","54.8%","21471","53.2%","27212","52.9%","0.2pp"
"Sink into Stupor","U","U","70754","5.05","12263","6.83","58464","81.3%","53.8%","10474","52.0%","15622","56.1%","26096","54.5%","32395","53.2%","1.3pp"
"Tamiyo, Inquisitive Student","U","M","4347","1.68","2676","1.64","14387","88.3%","56.5%","2570","66.5%","3862","60.7%","6432","63.0%","7905","51.2%","11.8pp"
"Boggart Trawler","B","U","80476","6.02","11179","8.60","44375","67.8%","52.9%","8168","51.8%","10370","53.5%","18538","52.7%","25773","53.1%","-0.4pp"
"Fell the Profane","B","U","40681","3.03","11678","3.52","60656","89.0%","53.3%","10999","52.7%","14484","57.3%","25483","55.3%","35145","51.9%","3.4pp"
"Sorin of House Markov","B","M","4425","1.75","2311","1.72","11716","85.5%","54.0%","2091","56.4%","2817","56.3%","4908","56.3%","6751","52.1%","4.3pp"
"Pinnacle Monk","R","U","67438","4.79","14319","6.30","72934","84.4%","55.9%","12850","54.4%","15193","56.2%","28043","55.4%","44627","56.1%","-0.8pp"
"Ral, Monsoon Mage","R","M","7817","3.00","1858","3.36","6086","56.7%","51.5%","1092","51.8%","1487","49.8%","2579","50.6%","3511","52.1%","-1.5pp"
"Sundering Eruption","R","U","78672","5.81","16503","7.55","82488","81.9%","56.8%","14301","54.7%","16862","56.3%","31163","55.5%","51349","57.6%","-2.0pp"
"Bridgeworks Battle","G","U","43696","3.13","13091","3.72","72033","91.9%","55.2%","12946","54.6%","15976","57.2%","28922","56.0%","43077","54.5%","1.5pp"
"Disciple of Freyalise","G","U","61593","4.41","11952","5.78","62886","87.8%","55.6%","11365","54.4%","13765","56.8%","25130","55.8%","37182","55.3%","0.5pp"
"Grist, Voracious Larva","G","M","6557","2.54","1782","2.61","6933","67.4%","52.3%","1227","54.5%","1513","52.7%","2740","53.5%","4100","51.2%","2.3pp"
"Bloodsoaked Insight","BR","U","72242","5.06","12969","6.97","60535","78.9%","53.8%","10941","53.1%","13388","54.4%","24329","53.8%","36244","53.8%","-0.0pp"
"Drowner of Truth","UG","U","49025","3.42","11528","4.37","62348","91.6%","54.4%","11383","54.1%","15148","56.6%","26531","55.5%","35083","53.3%","2.2pp"
"Glasswing Grace","WB","U","57916","4.06","12485","5.24","65784","88.6%","54.5%","11948","53.8%","14354","56.8%","26302","55.4%","39128","54.0%","1.4pp"
"Legion Leadership","WR","U","67010","4.62","14563","6.08","78998","89.1%","56.7%","14581","56.1%","15538","56.4%","30119","56.3%","48859","57.0%","-0.8pp"
"Revitalizing Repast","BG","U","55469","3.74","12682","4.86","70080","92.5%","54.8%","12752","55.1%","15513","57.2%","28265","56.3%","41723","53.8%","2.4pp"
"Rush of Inspiration","UR","U","72519","5.18","13797","7.06","66137","80.9%","54.6%","12270","54.2%","15635","55.8%","27905","55.1%","38287","54.2%","0.9pp"
"Strength of the Harvest","WG","U","63086","4.36","12609","5.83","66522","87.4%","55.6%","12215","55.5%","13538","55.6%","25753","55.6%","40284","55.6%","-0.0pp"
"Stump Stomp","RG","U","41480","2.93","14540","3.45","82710","94.9%","55.6%","15190","55.4%","17756","56.3%","32946","55.9%","49728","55.4%","0.5pp"
"Suppression Ray","WU","U","68381","4.88","14445","6.39","71669","83.2%","54.7%","12989","53.8%","16232","56.1%","29221","55.1%","42508","54.4%","0.7pp"
"Waterlogged Teachings","UB","U","83585","6.32","12780","8.86","44874","60.0%","53.0%","8478","52.6%","12008","55.6%","20486","54.4%","24468","51.9%","2.4pp"
"Breaker of Creation","","U","45682","3.38","10664","4.10","53961","86.6%","53.9%","8351","52.7%","13203","57.0%","21554","55.3%","31341","52.5%","2.8pp"
"Devourer of Destiny","","R","12234","2.29","4575","2.38","22703","84.3%","54.3%","3960","55.1%","5457","57.3%","9417","56.4%","12909","52.3%","4.1pp"
"Drownyard Lurker","U","C","190953","5.27","27600","7.54","120398","74.5%","53.2%","19694","51.9%","30913","55.4%","50607","54.1%","68717","52.4%","1.6pp"
"Echoes of Eternity","","R","21807","3.94","3754","5.02","13154","60.7%","52.0%","2128","48.1%","3315","53.6%","5443","51.5%","7546","52.2%","-0.8pp"
"Eldrazi Ravager","","U","52289","3.72","9070","4.93","45118","85.5%","52.8%","7585","49.8%","10602","52.8%","18187","51.6%","26511","53.5%","-1.9pp"
"Emrakul, the World Anew","","M","4177","1.62","2218","1.55","10084","77.9%","54.2%","1467","52.8%","2675","61.1%","4142","58.2%","5710","50.6%","7.6pp"
"Glaring Fleshraker","","U","43515","3.19","10758","3.87","55100","86.3%","54.7%","9541","55.5%","13053","56.4%","22594","56.0%","31669","53.5%","2.5pp"
"Herigast, Erupting Nullkite","R","M","4890","1.83","2345","1.84","11562","85.7%","52.6%","1821","51.2%","2690","55.3%","4511","53.6%","6953","51.6%","2.0pp"
"It That Heralds the End","","U","50673","3.68","10098","4.69","49600","83.9%","54.0%","8383","53.4%","11668","54.8%","20051","54.2%","28904","53.7%","0.5pp"
