"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Another Round","W","R","22483","5.96","2656","9.19","696","4.4%","43.2%","108","","167","","275","","421","",""
"Archangel of Tithes","W","M","3320","1.89","1422","1.91","6757","81.8%","53.8%","1133","54.4%","1559","57.2%","2692","56.0%","4077","52.3%","3.7pp"
"Armored Armadillo","W","C","137979","7.74","14756","11.42","12879","14.9%","51.2%","2204","49.6%","2965","52.2%","5169","51.1%","7692","51.2%","-0.1pp"
"Aven Interrupter","W","R","7975","2.26","3113","2.38","15987","85.9%","56.4%","2674","56.4%","3782","59.4%","6456","58.1%","9521","55.1%","3.1pp"
"Bounding Felidar","W","U","37447","4.37","6705","5.83","30735","77.3%","55.8%","4646","54.3%","6954","56.8%","11600","55.8%","18672","55.5%","0.3pp"
"Bovine Intervention","W","U","48285","6.14","4434","9.64","7299","28.3%","51.2%","1071","44.7%","1829","50.9%","2900","48.6%","4395","52.8%","-4.2pp"
"Bridled Bighorn","W","C","122355","5.97","17088","8.61","63714","62.2%","55.8%","10365","55.1%","14345","54.6%","24710","54.8%","38162","56.3%","-1.5pp"
"Claim Jumper","W","R","9042","2.45","2746","2.71","14056","86.3%","54.9%","2591","54.4%","3234","54.5%","5825","54.4%","8229","55.2%","-0.7pp"
"Dust Animus","W","R","5175","1.51","3830","1.49","22122","94.5%","57.6%","3883","61.1%","5543","62.0%","9426","61.6%","12726","54.7%","7.0pp"
"Eriette's Lullaby","W","C","118195","5.65","14531","8.42","46140","54.0%","53.5%","7873","51.1%","10959","54.7%","18832","53.2%","27252","53.7%","-0.6pp"
"Final Showdown","W","M","2779","1.69","1668","1.65","8532","85.5%","57.5%","1448","59.7%","2106","64.4%","3554","62.5%","4958","54.0%","8.5pp"
"Fortune, Loyal Steed","W","R","7212","2.04","3344","2.13","18013","90.9%","56.4%","3121","58.7%","4255","58.1%","7376","58.3%","10364","54.8%","3.6pp"
"Frontier Seeker","W","U","33062","3.76","8969","4.50","46911","86.4%","57.9%","8449","59.5%","10480","57.5%","18929","58.4%","27955","57.6%","0.7pp"
