"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Putrid Warrior","WB","C","13098","6.80","1552","10.20","2241","24.0%","55.5%","371","","559","53.7%","930","55.5%","1309","55.6%","-0.1pp"
"Krosan Tusker","G","C","10086","4.57","1972","5.99","9246","77.9%","54.1%","1626","55.2%","2341","57.2%","3967","56.4%","5260","52.5%","3.9pp"
"Mass Hysteria","R","R","5625","5.64","656","8.71","286","7.2%","","39","","68","","107","","179","",""
"Spell Snare","U","U","13461","6.94","1558","10.38","910","9.5%","52.1%","159","","227","","386","","524","51.5%",""
"Ghost Quarter","","U","14099","7.31","1628","10.93","448","4.6%","","75","","122","","197","","250","",""
"Enlisted Wurm","WG","U","7700","3.66","2525","4.17","12905","81.6%","57.6%","2075","60.7%","3253","60.2%","5328","60.4%","7504","55.5%","4.9pp"
"Kuldotha Rebirth","R","C","12398","6.23","1554","9.07","2163","23.3%","50.2%","324","","525","47.8%","849","49.8%","1314","50.3%","-0.5pp"
"Molten Psyche","R","R","5757","5.57","660","8.82","203","5.1%","","28","","54","","82","","121","",""
"Leonin Relic-Warder","W","U","8804","4.01","1952","5.23","9694","80.8%","56.4%","1593","54.6%","2207","55.4%","3800","55.1%","5890","57.3%","-2.2pp"
"Gnaw to the Bone","G","C","13908","7.84","1699","11.38","437","4.3%","","79","","98","","177","","260","",""
"Stromkirk Captain","BR","U","12449","6.41","1421","9.52","1890","22.5%","49.3%","302","","474","","776","49.5%","1111","49.1%","0.4pp"
"Burden of Guilt","W","C","13576","7.01","1526","10.38","1570","17.4%","51.0%","235","","411","","646","49.5%","912","51.9%","-2.3pp"
"Ixidor, Reality Sculptor","U","R","4066","4.18","603","5.78","1085","31.6%","47.4%","179","","259","","438","","646","50.2%",""
"Duskmantle, House of Shadow","","U","14003","7.71","1794","11.19","379","3.6%","","65","","102","","167","","211","",""
"Worldspine Wurm","G","M","3980","3.83","553","5.50","829","26.1%","45.8%","127","","236","","363","","467","",""
"Possibility Storm","R","R","6000","5.72","685","9.05","74","1.8%","","14","","23","","37","","37","",""
"Millstone","","U","14005","7.64","1578","11.38","260","2.8%","","45","","66","","111","","149","",""
"Nyx Weaver","BG","U","10943","5.24","1943","7.13","6271","54.6%","51.8%","1063","53.0%","1606","54.2%","2669","53.7%","3565","50.2%","3.5pp"
"Evolutionary Leap","G","R","5477","5.17","634","8.10","570","14.9%","50.4%","91","","129","","220","","349","",""
"Shard of Broken Glass","","C","14308","7.95","1741","11.45","387","3.7%","","63","","102","","165","","222","",""
"Metalspinner's Puzzleknot","","C","13375","6.75","1486","10.18","1712","19.3%","50.6%","280","","468","","748","48.5%","959","52.1%","-3.6pp"
"Smuggler's Copter","","R","1270","1.33","1061","1.34","6661","99.5%","58.5%","1215","67.5%","1671","60.2%","2886","63.3%","3762","54.7%","8.5pp"
"Consign // Oblivion","UB","U","11499","5.43","1917","7.46","6035","52.0%","54.6%","1090","54.6%","1669","57.5%","2759","56.4%","3260","53.1%","3.2pp"
"Bishop of the Bloodstained","B","U","13414","6.86","1369","10.54","547","6.7%","45.0%","86","","142","","228","","318","",""
"Goblin Warchief","R","U","13109","6.72","1515","10.08","957","10.6%","48.3%","157","","209","","366","","591","51.3%",""
"High Alert","WU","U","13148","6.94","1653","10.38","417","4.3%","","60","","121","","181","","216","",""
"Jace, Wielder of Mysteries","U","R","2540","2.70","748","3.04","3172","72.1%","53.1%","510","58.6%","890","55.4%","1400","56.6%","1768","50.4%","6.2pp"
"Syr Konrad, the Grim","B","U","6577","3.15","1750","3.79","8851","85.4%","52.8%","1400","51.6%","2307","56.0%","3707","54.4%","5100","51.5%","2.9pp"
"Ranger-Captain of Eos","W","M","2225","2.36","831","2.48","3894","74.5%","57.2%","628","61.8%","991","56.9%","1619","58.8%","2274","56.1%","2.7pp"
"Hard Evidence","U","C","10672","4.85","2566","6.01","12630","80.5%","55.6%","2262","59.2%","3498","55.3%","5760","56.8%","6859","54.6%","2.2pp"
"Combine Chrysalis","UG","U","10928","5.46","1938","7.34","3775","32.5%","49.6%","626","43.5%","1024","49.4%","1650","47.2%","2125","51.5%","-4.3pp"
"Quintorius, Field Historian","WR","U","10926","5.28","1444","7.78","1848","21.5%","47.5%","272","","491","","763","45.1%","1079","49.0%","-3.9pp"
"Laid to Rest","G","U","13804","7.49","1656","11.05","193","1.9%","","22","","65","","87","","100","",""
"Monologue Tax","W","R","5250","5.20","531","8.62","138","4.4%","","23","","33","","56","","79","",""
"Magmaw","R","U","10222","4.79","1859","6.49","6900","62.1%","53.7%","1004","52.8%","1680","54.6%","2684","53.9%","4214","53.7%","0.3pp"
"Mistveil Plains","","U","13619","6.94","1614","10.44","1542","15.7%","50.6%","274","","372","","646","49.8%","891","51.0%","-1.1pp"
"Mentor of the Meek","W","U","4974","2.38","1897","2.68","10431","92.1%","53.4%","1934","52.1%","2465","51.8%","4399","51.9%","6028","54.5%","-2.6pp"
"Ghostly Prison","W","M","2400","2.57","509","2.94","1938","64.7%","51.4%","342","","513","49.5%","855","51.3%","1063","51.3%","0.1pp"
"Fabricate","U","M","5571","5.11","655","7.98","122","3.1%","","23","","35","","58","","64","",""
"Show and Tell","U","M","4751","4.52","572","6.95","196","5.9%","","35","","52","","87","","109","",""
"Tragic Slip","B","M","2602","2.62","593","3.07","2595","75.2%","51.3%","450","","623","52.2%","1073","51.1%","1513","51.3%","-0.2pp"
"Victimize","B","M","2222","2.34","626","2.51","2836","78.6%","51.5%","482","","765","54.0%","1247","52.3%","1579","50.7%","1.6pp"
"Gamble","R","M","4565","4.47","546","6.67","379","11.9%","","66","","88","","154","","224","",""
"Crashing Footfalls","G","M","1633","1.86","943","1.90","5187","89.1%","56.5%","886","74.7%","1279","54.5%","2165","62.8%","3021","52.1%","10.7pp"
"Tireless Tracker","G","M","1371","1.50","967","1.51","5614","94.3%","56.6%","1016","59.7%","1450","60.6%","2466","60.2%","3109","53.9%","6.3pp"
"Drown in the Loch","UB","M","3864","3.69","616","5.02","1555","43.5%","50.2%","256","","427","","683","54.0%","859","46.9%","7.1pp"
"Field of the Dead","","M","4695","4.42","579","6.61","378","11.2%","","56","","97","","153","","223","",""
"Case of the Shattered Pact","","U","150884","5.90","22581","8.42","49739","36.9%","52.1%","9245","51.9%","12594","53.0%","21839","52.5%","27569","51.7%","0.9pp"
"Absolving Lammasu","W","U","143610","5.58","16503","8.56","36191","36.1%","53.9%","5472","52.5%","8858","53.4%","14330","53.0%","21839","54.5%","-1.4pp"
"Assemble the Players","W","R","38549","3.57","6668","4.63","21911","55.9%","51.9%","3965","48.0%","5206","47.7%","9171","47.8%","12549","54.9%","-7.1pp"
"Aurelia's Vindicator","W","M","5949","1.16","5502","1.15","34907","97.5%","60.5%","6081","67.1%","8802","69.5%","14883","68.5%","19847","54.5%","14.1pp"
"Auspicious Arrival","W","C","347976","5.13","67555","7.04","322862","77.4%","56.5%","51697","55.1%","76238","55.6%","127935","55.4%","194823","57.3%","-1.9pp"
"Call a Surprise Witness","W","U","131227","4.97","18177","7.33","58822","53.2%","54.7%","9359","52.2%","14244","54.6%","23603","53.6%","35194","55.5%","-1.9pp"
"Case of the Gateway Express","W","U","66903","2.65","26527","2.97","148220","90.0%","57.3%","24653","57.7%","35773","57.7%","60426","57.7%","86595","56.9%","0.8pp"
"Case of the Pilfered Proof","W","U","120029","4.90","17406","6.72","53685","52.0%","51.7%","9567","50.6%","13327","46.5%","22894","48.2%","29999","54.2%","-6.0pp"
"Case of the Uneaten Feast","W","R","56303","5.09","6369","8.06","4969","13.0%","49.4%","799","45.9%","1219","46.2%","2018","46.1%","2879","51.6%","-5.6pp"
"Defenestrated Phantom","W","C","395689","6.35","46852","9.56","96132","33.8%","53.9%","15776","51.4%","22515","52.8%","38291","52.2%","57815","55.1%","-2.8pp"
"Delney, Streetwise Lookout","W","M","8643","1.66","4120","1.67","20858","85.4%","53.2%","3615","51.8%","5086","51.5%","8701","51.6%","12138","54.4%","-2.8pp"
"Doorkeeper Thrull","W","R","47823","4.12","6113","6.08","12338","33.9%","52.1%","2177","52.2%","2924","50.1%","5101","51.0%","7235","52.9%","-1.9pp"
"Due Diligence","W","C","395149","6.50","48452","9.69","90596","30.9%","53.6%","14083","51.6%","21405","52.0%","35488","51.8%","54449","54.7%","-2.8pp"
"Essence of Antiquity","W","U","149004","5.87","17194","8.99","32211","31.0%","53.0%","5382","50.2%","7707","51.6%","13089","51.0%","19103","54.4%","-3.4pp"
"Forum Familiar","W","U","141952","5.41","17982","8.13","52894","48.8%","53.2%","8880","50.0%","12230","50.6%","21110","50.3%","31701","55.1%","-4.7pp"
"Griffnaut Tracker","W","C","374863","5.73","45254","8.68","133551","48.8%","53.5%","21402","51.2%","32117","51.8%","53519","51.5%","80029","54.8%","-3.3pp"
"Haazda Vigilante","W","C","371441","5.67","55923","8.18","207687","60.5%","55.8%","31887","55.1%","49094","54.6%","80981","54.8%","126684","56.4%","-1.6pp"
"Inside Source","W","C","223346","3.34","72602","4.04","416877","91.9%","57.3%","73483","58.3%","98125","57.0%","171608","57.6%","245073","57.2%","0.4pp"
"Karlov Watchdog","W","U","98229","3.70","22135","4.79","113932","83.9%","56.1%","18573","55.9%","26967","55.4%","45540","55.6%","68407","56.4%","-0.9pp"
"Krovod Haunch","W","U","143854","5.46","21705","7.83","69349","52.3%","55.2%","11585","52.6%","16317","54.0%","27902","53.4%","41426","56.5%","-3.0pp"
