"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Another Round","W","R","24684","5.98","2918","9.22","763","4.4%","44.3%","118","","179","","297","","466","",""
"Archangel of Tithes","W","M","3664","1.90","1562","1.93","7413","81.8%","53.8%","1233","54.1%","1711","56.8%","2944","55.7%","4479","52.5%","3.2pp"
"Armored Armadillo","W","C","151119","7.76","16173","11.44","13936","14.7%","51.1%","2399","49.9%","3199","52.3%","5598","51.2%","8318","51.0%","0.2pp"
"Aven Interrupter","W","R","8812","2.27","3423","2.41","17577","86.1%","56.3%","2953","56.5%","4158","58.8%","7111","57.9%","10454","55.2%","2.7pp"
"Bounding Felidar","W","U","40817","4.35","7256","5.81","33428","77.6%","55.7%","5035","54.3%","7571","56.8%","12606","55.8%","20324","55.5%","0.3pp"
"Bovine Intervention","W","U","53054","6.16","4871","9.68","7869","27.8%","51.1%","1162","45.1%","1963","50.7%","3125","48.6%","4738","52.6%","-4.0pp"
"Bridled Bighorn","W","C","133574","5.96","18614","8.60","69483","62.2%","55.8%","11302","55.0%","15700","54.5%","27002","54.7%","41553","56.3%","-1.5pp"
"Claim Jumper","W","R","9954","2.46","2970","2.74","15197","86.2%","54.8%","2803","54.5%","3480","54.6%","6283","54.5%","8915","55.0%","-0.5pp"
"Dust Animus","W","R","5634","1.50","4169","1.49","24202","94.6%","57.4%","4283","60.5%","6052","62.1%","10335","61.4%","13900","54.5%","6.9pp"
"Eriette's Lullaby","W","C","129369","5.66","15862","8.44","50487","54.0%","53.5%","8565","51.3%","12004","54.7%","20569","53.3%","29858","53.7%","-0.4pp"
"Final Showdown","W","M","3040","1.70","1826","1.66","9420","85.6%","57.5%","1595","59.4%","2331","64.2%","3926","62.2%","5472","54.1%","8.1pp"
"Fortune, Loyal Steed","W","R","7886","2.04","3666","2.12","19750","90.9%","56.3%","3418","58.1%","4670","58.1%","8088","58.1%","11367","54.8%","3.3pp"
"Frontier Seeker","W","U","36104","3.76","9837","4.51","51532","86.3%","57.8%","9281","59.3%","11558","57.4%","20839","58.3%","30666","57.4%","0.8pp"
"Getaway Glamer","W","U","42498","4.45","9302","5.54","44495","78.8%","57.3%","7382","57.4%","10675","60.0%","18057","58.9%","26380","56.2%","2.7pp"
"High Noon","W","R","22344","5.53","2407","8.59","1350","9.6%","48.4%","219","","303","","522","46.6%","828","49.5%","-3.0pp"
"Holy Cow","W","C","115188","4.77","19178","6.62","94754","82.3%","56.1%","16628","56.4%","22233","57.9%","38861","57.2%","55852","55.3%","2.0pp"
"Inventive Wingsmith","W","C","148312","7.36","16979","10.78","22401","22.4%","51.8%","3730","49.2%","5287","52.0%","9017","50.8%","13384","52.3%","-1.5pp"
"Lassoed by the Law","W","U","25865","2.75","10640","3.07","60283","92.4%","58.2%","9930","59.6%","14703","63.2%","24633","61.7%","35597","55.8%","5.9pp"
"Mystical Tether","W","C","91966","3.77","22820","4.79","123929","90.4%","56.2%","21264","56.1%","29250","58.5%","50514","57.5%","73305","55.3%","2.2pp"
"Nurturing Pixie","W","U","51071","5.48","6976","7.88","21134","51.1%","54.7%","3539","52.2%","4764","55.8%","8303","54.3%","12833","55.0%","-0.7pp"
"Omenport Vigilante","W","U","44104","4.63","7702","6.22","33096","72.7%","54.7%","5815","55.0%","7483","53.0%","13298","53.9%","19802","55.2%","-1.3pp"
"One Last Job","W","R","13768","3.41","2824","4.25","10868","64.6%","55.9%","1650","52.8%","2505","57.2%","4155","55.5%","6702","56.1%","-0.6pp"
"Outlaw Medic","W","C","132739","5.85","19518","8.31","72973","63.0%","54.9%","13016","55.5%","16897","54.9%","29913","55.2%","42994","54.7%","0.5pp"
"Prairie Dog","W","U","28813","3.03","8968","3.54","47415","88.5%","56.2%","8657","59.2%","11021","56.0%","19678","57.4%","27776","55.3%","2.1pp"
"Prosperity Tycoon","W","U","40423","4.13","9660","5.16","48208","82.3%","57.1%","7996","57.3%","11507","58.7%","19503","58.2%","28706","56.4%","1.7pp"
"Requisition Raid","W","U","48967","5.30","6205","7.67","17887","48.1%","54.3%","2777","51.5%","4058","55.3%","6835","53.8%","11047","54.6%","-0.8pp"
"Rustler Rampage","W","U","57296","6.69","6189","10.06","7312","20.0%","52.9%","1089","51.7%","1647","52.6%","2736","52.3%","4578","53.3%","-1.1pp"
"Shepherd of the Clouds","W","U","27199","2.91","9845","3.31","54806","91.6%","57.4%","8775","57.7%","13106","61.6%","21881","60.0%","32802","55.7%","4.4pp"
"Sheriff of Safe Passage","W","U","46598","5.04","5993","7.18","20046","57.4%","53.3%","3492","51.8%","4468","53.3%","7960","52.7%","12088","53.8%","-1.1pp"
"Stagecoach Security","W","C","143401","6.68","18869","9.66","53154","47.1%","55.6%","8329","54.2%","12441","56.8%","20770","55.8%","32401","55.5%","0.2pp"
