"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Another Round","W","R","39578","6.11","4689","9.34","1170","4.2%","45.7%","192","","275","","467","","704","50.9%",""
"Archangel of Tithes","W","M","5922","1.99","2369","2.03","11390","82.0%","53.9%","1882","54.7%","2628","56.7%","4510","55.8%","6896","52.5%","3.3pp"
"Armored Armadillo","W","C","236148","7.82","25353","11.52","21227","14.1%","51.0%","3632","50.0%","4890","51.3%","8522","50.8%","12676","51.1%","-0.4pp"
"Aven Interrupter","W","R","14125","2.33","5299","2.49","27505","86.2%","55.7%","4720","56.5%","6520","57.8%","11240","57.3%","16244","54.6%","2.7pp"
"Bounding Felidar","W","U","62765","4.25","11252","5.70","53280","78.9%","55.2%","8008","54.6%","12237","56.4%","20245","55.7%","32296","54.7%","0.9pp"
"Bovine Intervention","W","U","83980","6.23","7667","9.80","11998","26.7%","50.8%","1827","45.6%","2948","51.3%","4775","49.1%","7211","51.8%","-2.7pp"
"Bridled Bighorn","W","C","207900","5.90","28852","8.57","110145","63.3%","55.2%","17986","54.1%","25021","54.1%","43007","54.1%","65726","55.8%","-1.7pp"
"Claim Jumper","W","R","16088","2.56","4534","2.91","23131","86.3%","54.3%","4257","53.9%","5352","54.2%","9609","54.1%","13524","54.4%","-0.3pp"
"Dust Animus","W","R","8690","1.49","6465","1.48","37809","94.8%","57.0%","6743","60.3%","9366","61.8%","16109","61.2%","21725","54.0%","7.2pp"
"Eriette's Lullaby","W","C","203481","5.69","24813","8.53","79087","53.8%","53.3%","13374","50.9%","18930","54.3%","32304","52.9%","46679","53.5%","-0.6pp"
"Final Showdown","W","M","4862","1.71","2940","1.69","15331","86.3%","56.4%","2583","57.8%","3787","62.1%","6370","60.4%","8928","53.7%","6.7pp"
"Fortune, Loyal Steed","W","R","12362","2.03","5708","2.11","31333","91.1%","56.2%","5525","58.4%","7425","57.4%","12950","57.8%","17924","54.7%","3.1pp"
"Frontier Seeker","W","U","56059","3.73","15025","4.52","78951","85.9%","57.2%","14204","58.6%","17927","56.8%","32131","57.6%","46786","57.0%","0.6pp"
"Getaway Glamer","W","U","64102","4.29","15102","5.29","74958","81.3%","56.9%","12308","57.0%","18198","59.9%","30506","58.7%","44358","55.7%","3.0pp"
"High Noon","W","R","35839","5.63","3950","8.82","1960","8.5%","48.4%","306","","449","","755","47.0%","1205","49.3%","-2.3pp"
"Holy Cow","W","C","181009","4.77","30038","6.68","150497","82.9%","55.8%","26461","56.1%","35256","57.5%","61717","56.9%","88725","55.1%","1.8pp"
"Inventive Wingsmith","W","C","232788","7.45","26287","10.94","32379","20.8%","51.7%","5416","49.9%","7729","51.3%","13145","50.7%","19235","52.3%","-1.6pp"
"Lassoed by the Law","W","U","38980","2.66","16629","2.96","95005","92.8%","57.6%","15766","58.8%","23225","62.6%","38991","61.1%","55912","55.1%","5.9pp"
"Mystical Tether","W","C","138941","3.65","35661","4.63","196853","91.1%","55.9%","33559","55.5%","47055","58.2%","80614","57.1%","116084","55.0%","2.1pp"
"Nurturing Pixie","W","U","80197","5.49","10992","7.92","33905","51.6%","54.6%","5616","53.1%","7816","55.8%","13432","54.7%","20472","54.6%","0.1pp"
"Omenport Vigilante","W","U","69999","4.68","11918","6.40","51517","72.5%","54.6%","9050","55.9%","11640","53.1%","20690","54.4%","30828","54.7%","-0.4pp"
"One Last Job","W","R","21944","3.44","4481","4.27","17793","66.4%","55.0%","2754","51.7%","4148","57.6%","6902","55.2%","10879","54.9%","0.4pp"
"Outlaw Medic","W","C","208262","5.88","30103","8.41","111963","62.3%","54.5%","20001","55.4%","25926","54.6%","45927","55.0%","65950","54.1%","0.8pp"
"Prairie Dog","W","U","44890","3.02","13736","3.55","73573","89.0%","55.7%","13427","58.7%","17244","55.6%","30671","56.9%","42962","54.8%","2.1pp"
"Prosperity Tycoon","W","U","62400","4.08","15169","5.11","77091","83.1%","56.9%","12811","57.2%","18319","58.7%","31130","58.1%","45969","56.1%","1.9pp"
"Requisition Raid","W","U","77661","5.36","9700","7.86","27764","47.5%","54.3%","4302","51.9%","6366","55.4%","10668","54.0%","17085","54.4%","-0.4pp"
"Rustler Rampage","W","U","90365","6.80","9731","10.28","10626","18.3%","52.5%","1579","49.8%","2419","52.7%","3998","51.5%","6628","53.1%","-1.6pp"
"Shepherd of the Clouds","W","U","40914","2.81","15596","3.18","88175","92.4%","57.0%","14099","57.0%","21352","61.3%","35451","59.6%","52533","55.3%","4.4pp"
"Sheriff of Safe Passage","W","U","74836","5.19","9164","7.54","29891","55.3%","53.0%","5082","51.8%","6786","53.1%","11868","52.5%","18024","53.4%","-0.9pp"
"Stagecoach Security","W","C","224213","6.65","29692","9.63","86152","48.3%","55.3%","13388","54.3%","20081","56.7%","33469","55.7%","52712","55.1%","0.6pp"
"Steer Clear","W","C","221585","6.55","28535","9.54","73552","43.0%","54.7%","12081","53.6%","16738","53.7%","28819","53.7%","44670","55.3%","-1.6pp"
"Sterling Keykeeper","W","C","214936","6.18","32894","8.72","132829","66.6%","55.9%","23334","55.6%","29676","55.9%","53010","55.8%","79758","56.0%","-0.3pp"
